Driver,LapNumber,Compound,TyreAge,TyreAgeBucket,LapDeltaCategory,TrackTemp,Weather,SafetyCar,RacePhase,PitNextLap
HAM,23.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
ALO,23.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
RUS,23.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
STR,23.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
BOT,23.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
ALB,23.0,SOFT,12,11-20,Normal,Low,Dry,0,Middle,0
TSU,23.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
GAS,23.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
SAR,23.0,SOFT,11,11-20,Normal,Low,Dry,0,Middle,0
DEV,23.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
ZHO,23.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
HUL,23.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
MAG,23.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
OCO,23.0,HARD,8,0-10,Slower,Low,Dry,0,Middle,0
NOR,23.0,SOFT,6,0-10,Faster,Low,Dry,0,Middle,0
VER,24.0,SOFT,10,0-10,Normal,Low,Dry,0,Middle,0
LEC,24.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
PER,24.0,SOFT,7,0-10,Normal,Low,Dry,0,Middle,0
SAI,24.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
HAM,24.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
ALO,24.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
RUS,24.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
STR,24.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
BOT,24.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
ALB,24.0,SOFT,13,11-20,Normal,Low,Dry,0,Middle,0
TSU,24.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
GAS,24.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,1
SAR,24.0,SOFT,12,11-20,Normal,Low,Dry,0,Middle,0
DEV,24.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
ZHO,24.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
HUL,24.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
MAG,24.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
NOR,24.0,SOFT,7,0-10,Normal,Low,Dry,0,Middle,0
OCO,24.0,HARD,9,0-10,Faster,Low,Dry,0,Middle,0
VER,25.0,SOFT,11,11-20,Normal,Low,Dry,0,Middle,0
LEC,25.0,HARD,12,11-20,Slower,Low,Dry,0,Middle,0
PER,25.0,SOFT,8,0-10,Slower,Low,Dry,0,Middle,0
SAI,25.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
HAM,25.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
ALO,25.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
RUS,25.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
STR,25.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
BOT,25.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
ALB,25.0,SOFT,14,11-20,Normal,Low,Dry,0,Middle,1
TSU,25.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,1
GAS,25.0,HARD,16,11-20,Slower,Low,Dry,0,Middle,0
SAR,25.0,SOFT,13,11-20,Normal,Low,Dry,0,Middle,0
DEV,25.0,HARD,14,11-20,Slower,Low,Dry,0,Middle,0
ZHO,25.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
HUL,25.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,1
MAG,25.0,HARD,10,0-10,Slower,Low,Dry,0,Middle,0
NOR,25.0,SOFT,8,0-10,Normal,Low,Dry,0,Middle,0
OCO,25.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
VER,26.0,SOFT,12,11-20,Normal,Low,Dry,0,Middle,0
LEC,26.0,HARD,13,11-20,Slower,Low,Dry,0,Middle,0
PER,26.0,SOFT,9,0-10,Faster,Low,Dry,0,Middle,0
SAI,26.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
HAM,26.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
ALO,26.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
RUS,26.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
STR,26.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
BOT,26.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
ALB,26.0,SOFT,15,11-20,Slower,Low,Dry,0,Middle,0
TSU,26.0,HARD,16,11-20,Slower,Low,Dry,0,Middle,0
GAS,26.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
SAR,26.0,SOFT,14,11-20,Normal,Low,Dry,0,Middle,0
ZHO,26.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
DEV,26.0,HARD,15,11-20,Faster,Low,Dry,0,Middle,1
HUL,26.0,HARD,15,11-20,Slower,Low,Dry,0,Middle,0
MAG,26.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
NOR,26.0,SOFT,9,0-10,Normal,Low,Dry,0,Middle,1
OCO,26.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
VER,27.0,SOFT,13,11-20,Normal,Low,Dry,0,Middle,0
PER,27.0,SOFT,10,0-10,Normal,Low,Dry,0,Middle,0
LEC,27.0,HARD,14,11-20,Faster,Low,Dry,0,Middle,0
SAI,27.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
HAM,27.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
ALO,27.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
RUS,27.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
STR,27.0,HARD,12,11-20,Slower,Low,Dry,0,Middle,0
BOT,27.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
ALB,27.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
TSU,27.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
SAR,27.0,SOFT,15,11-20,Normal,Low,Dry,0,Middle,0
ZHO,27.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
DEV,27.0,HARD,16,11-20,Slower,Low,Dry,0,Middle,0
MAG,27.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
HUL,27.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
GAS,27.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
NOR,27.0,SOFT,10,0-10,Slower,Low,Dry,0,Middle,0
OCO,27.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
VER,28.0,SOFT,14,11-20,Normal,Low,Dry,0,Middle,0
PER,28.0,SOFT,11,11-20,Normal,Low,Dry,0,Middle,0
LEC,28.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
SAI,28.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
HAM,28.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
ALO,28.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,0
RUS,28.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
STR,28.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
BOT,28.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,1
SAR,28.0,SOFT,16,11-20,Normal,Low,Dry,0,Middle,0
ZHO,28.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
DEV,28.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
MAG,28.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,1
ALB,28.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
GAS,28.0,HARD,3,0-10,Faster,Low,Dry,0,Middle,0
TSU,28.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
NOR,28.0,MEDIUM,1,0-10,Slower,Low,Dry,0,Middle,0
OCO,28.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
VER,29.0,SOFT,15,11-20,Normal,Low,Dry,0,Middle,0
HUL,28.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
PER,29.0,SOFT,12,11-20,Slower,Low,Dry,0,Middle,0
LEC,29.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
SAI,29.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
HAM,29.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,1
ALO,29.0,HARD,15,11-20,Normal,Low,Dry,0,Middle,0
RUS,29.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
STR,29.0,HARD,14,11-20,Normal,Low,Dry,0,Middle,1
BOT,29.0,HARD,18,11-20,Slower,Low,Dry,0,Middle,0
SAR,29.0,SOFT,17,11-20,Normal,Low,Dry,0,Middle,1
ZHO,29.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,0
MAG,29.0,HARD,14,11-20,Slower,Low,Dry,0,Middle,0
ALB,29.0,HARD,3,0-10,Slower,Low,Dry,0,Middle,0
GAS,29.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
TSU,29.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
DEV,29.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
OCO,29.0,HARD,14,11-20,Slower,Low,Dry,0,Middle,0
VER,30.0,SOFT,16,11-20,Normal,Low,Dry,0,Middle,0
HUL,29.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
PER,30.0,SOFT,13,11-20,Normal,Low,Dry,0,Middle,0
LEC,30.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,0
NOR,29.0,MEDIUM,2,0-10,Faster,Low,Dry,0,Middle,0
SAI,30.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,1
HAM,30.0,HARD,18,11-20,Slower,Low,Dry,0,Middle,0
ALO,30.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,0
RUS,30.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,1
STR,30.0,HARD,15,11-20,Slower,Low,Dry,0,Middle,0
BOT,30.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
SAR,30.0,SOFT,18,11-20,Slower,Low,Dry,0,Middle,0
ZHO,30.0,HARD,18,11-20,Normal,Low,Dry,0,Middle,0
ALB,30.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
MAG,30.0,SOFT,1,0-10,Slower,Low,Dry,0,Middle,0
GAS,30.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
TSU,30.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
DEV,30.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
VER,31.0,SOFT,17,11-20,Normal,Low,Dry,0,Middle,0
OCO,30.0,HARD,15,11-20,Faster,Low,Dry,0,Middle,0
HUL,30.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
PER,31.0,SOFT,14,11-20,Slower,Low,Dry,0,Middle,0
LEC,31.0,HARD,18,11-20,Normal,Low,Dry,0,Middle,0
NOR,30.0,MEDIUM,3,0-10,Normal,Low,Dry,0,Middle,0
SAI,31.0,HARD,18,11-20,Slower,Low,Dry,0,Middle,0
ALO,31.0,HARD,17,11-20,Normal,Low,Dry,0,Middle,0
HAM,31.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
RUS,31.0,HARD,18,11-20,Slower,Low,Dry,0,Middle,0
STR,31.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
ZHO,31.0,HARD,19,11-20,Normal,Low,Dry,0,Middle,1
SAR,31.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
BOT,31.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
ALB,31.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
GAS,31.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
TSU,31.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
DEV,31.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
VER,32.0,SOFT,18,11-20,Normal,Low,Dry,0,Middle,0
OCO,31.0,HARD,16,11-20,Normal,Low,Dry,0,Middle,1
MAG,31.0,SOFT,2,0-10,Faster,Low,Dry,0,Middle,0
HUL,31.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
PER,32.0,SOFT,15,11-20,Normal,Low,Dry,0,Middle,0
LEC,32.0,HARD,19,11-20,Normal,Low,Dry,0,Middle,1
NOR,31.0,MEDIUM,4,0-10,Normal,Low,Dry,0,Middle,0
SAI,32.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
ALO,32.0,HARD,18,11-20,Normal,Low,Dry,0,Middle,0
RUS,32.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
HAM,32.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
STR,32.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
ZHO,32.0,HARD,20,11-20,Slower,Low,Dry,0,Middle,0
BOT,32.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
ALB,32.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
GAS,32.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
TSU,32.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
SAR,32.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
DEV,32.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
VER,33.0,SOFT,19,11-20,Normal,Low,Dry,0,Middle,0
OCO,32.0,HARD,17,11-20,Slower,Low,Dry,0,Middle,0
MAG,32.0,SOFT,3,0-10,Faster,Low,Dry,0,Middle,0
HUL,32.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
PER,33.0,SOFT,16,11-20,Normal,Low,Dry,0,Middle,1
LEC,33.0,HARD,20,11-20,Slower,Low,Dry,0,Middle,0
NOR,32.0,MEDIUM,5,0-10,Normal,Low,Dry,0,Middle,0
ALO,33.0,HARD,19,11-20,Normal,Low,Dry,0,Middle,1
SAI,33.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
HAM,33.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
STR,33.0,HARD,3,0-10,Slower,Low,Dry,0,Middle,0
RUS,33.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
BOT,33.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
ZHO,33.0,SOFT,1,0-10,Slower,Low,Dry,0,Middle,0
ALB,33.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
GAS,33.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
TSU,33.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
SAR,33.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
DEV,33.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
VER,34.0,SOFT,20,11-20,Normal,Low,Dry,0,Middle,0
MAG,33.0,SOFT,4,0-10,Faster,Low,Dry,0,Middle,0
HUL,33.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
OCO,33.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
PER,34.0,SOFT,17,11-20,Slower,Low,Dry,0,Middle,0
NOR,33.0,MEDIUM,6,0-10,Faster,Low,Dry,0,Middle,0
LEC,34.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
ALO,34.0,HARD,20,11-20,Slower,Low,Dry,0,Middle,0
SAI,34.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
HAM,34.0,HARD,4,0-10,Slower,Low,Dry,0,Middle,0
STR,34.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
RUS,34.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
BOT,34.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
ALB,34.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
GAS,34.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
TSU,34.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
SAR,34.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
DEV,34.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
VER,35.0,SOFT,21,21-30,Normal,Low,Dry,0,Middle,1
ZHO,34.0,SOFT,2,0-10,Faster,Low,Dry,0,Middle,0
MAG,34.0,SOFT,5,0-10,Normal,Low,Dry,0,Middle,0
HUL,34.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
PER,35.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
NOR,34.0,MEDIUM,7,0-10,Normal,Low,Dry,0,Middle,0
ALO,35.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
LEC,35.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
OCO,34.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
SAI,35.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
HAM,35.0,HARD,5,0-10,Faster,Low,Dry,0,Middle,0
STR,35.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
RUS,35.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
BOT,35.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
ALB,35.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
GAS,35.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
TSU,35.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
SAR,35.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
DEV,35.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
VER,36.0,SOFT,22,21-30,Slower,Low,Dry,0,Middle,0
ZHO,35.0,SOFT,3,0-10,Slower,Low,Dry,0,Middle,0
MAG,35.0,SOFT,6,0-10,Normal,Low,Dry,0,Middle,0
HUL,35.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
NOR,35.0,MEDIUM,8,0-10,Normal,Low,Dry,0,Middle,0
PER,36.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
LEC,36.0,HARD,3,0-10,Faster,Low,Dry,0,Middle,0
OCO,35.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
SAI,36.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
HAM,36.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
ALO,36.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
STR,36.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
RUS,36.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
BOT,36.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
ALB,36.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
GAS,36.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
TSU,36.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
SAR,36.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
DEV,36.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
ZHO,36.0,SOFT,4,0-10,Normal,Low,Dry,0,Middle,0
VER,37.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
MAG,36.0,SOFT,7,0-10,Normal,Low,Dry,0,Middle,0
HUL,36.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
NOR,36.0,MEDIUM,9,0-10,Slower,Low,Dry,0,Middle,1
PER,37.0,HARD,3,0-10,Normal,Low,Dry,0,Middle,0
LEC,37.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
OCO,36.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
SAI,37.0,HARD,6,0-10,Faster,Low,Dry,0,Middle,0
HAM,37.0,HARD,7,0-10,Slower,Low,Dry,0,Middle,0
ALO,37.0,HARD,3,0-10,Slower,Low,Dry,0,Middle,0
STR,37.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
RUS,37.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
BOT,37.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
ALB,37.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
GAS,37.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
TSU,37.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
SAR,37.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
DEV,37.0,HARD,10,0-10,Normal,Low,Dry,0,Middle,0
ZHO,37.0,SOFT,5,0-10,Normal,Low,Dry,0,Middle,0
MAG,37.0,SOFT,8,0-10,Normal,Low,Dry,0,Middle,0
HUL,37.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
VER,38.0,HARD,2,0-10,Faster,Low,Dry,0,Middle,0
NOR,37.0,MEDIUM,10,0-10,Normal,Low,Dry,0,Middle,0
PER,38.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
LEC,38.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
OCO,37.0,HARD,5,0-10,Normal,Low,Dry,0,Middle,0
SAI,38.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
HAM,38.0,HARD,8,0-10,Slower,Low,Dry,0,Middle,0
ALO,38.0,HARD,4,0-10,Normal,Low,Dry,0,Middle,0
STR,38.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
RUS,38.0,HARD,7,0-10,Normal,Low,Dry,0,Middle,0
BOT,38.0,HARD,9,0-10,Normal,Low,Dry,0,Middle,0
ALB,38.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
GAS,38.0,HARD,13,11-20,Normal,Low,Dry,0,Middle,0
TSU,38.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
SAR,38.0,HARD,8,0-10,Normal,Low,Dry,0,Middle,0
DEV,38.0,HARD,11,11-20,Normal,Low,Dry,0,Middle,0
ZHO,38.0,SOFT,6,0-10,Normal,Low,Dry,0,Middle,0
MAG,38.0,SOFT,9,0-10,Normal,Low,Dry,0,Middle,0
HUL,38.0,HARD,12,11-20,Normal,Low,Dry,0,Middle,0
VER,39.0,HARD,3,0-10,Normal,Low,Dry,0,Late,0
NOR,38.0,HARD,1,0-10,Slower,Low,Dry,0,Middle,0
PER,39.0,HARD,5,0-10,Normal,Low,Dry,0,Late,0
LEC,39.0,HARD,6,0-10,Normal,Low,Dry,0,Late,0
OCO,38.0,HARD,6,0-10,Normal,Low,Dry,0,Middle,0
SAI,39.0,HARD,8,0-10,Normal,Low,Dry,0,Late,0
ALO,39.0,HARD,5,0-10,Normal,Low,Dry,0,Late,0
HAM,39.0,HARD,9,0-10,Faster,Low,Dry,0,Late,0
STR,39.0,HARD,9,0-10,Normal,Low,Dry,0,Late,0
RUS,39.0,HARD,8,0-10,Normal,Low,Dry,0,Late,0
BOT,39.0,HARD,10,0-10,Normal,Low,Dry,0,Late,0
ALB,39.0,HARD,13,11-20,Normal,Low,Dry,0,Late,1
GAS,39.0,HARD,14,11-20,Normal,Low,Dry,0,Late,1
TSU,39.0,HARD,13,11-20,Normal,Low,Dry,0,Late,1
SAR,39.0,HARD,9,0-10,Normal,Low,Dry,0,Late,1
DEV,39.0,HARD,12,11-20,Normal,Low,Dry,0,Late,0
ZHO,39.0,SOFT,7,0-10,Normal,Low,Dry,0,Late,0
MAG,39.0,SOFT,10,0-10,Normal,Low,Dry,0,Late,1
HUL,39.0,HARD,13,11-20,Normal,Low,Dry,0,Late,1
VER,40.0,HARD,4,0-10,Normal,Low,Dry,0,Late,0
PER,40.0,HARD,6,0-10,Slower,Low,Dry,0,Late,0
OCO,39.0,HARD,7,0-10,Normal,Low,Dry,0,Late,0
SAI,40.0,HARD,9,0-10,Normal,Low,Dry,0,Late,0
ALO,40.0,HARD,6,0-10,Normal,Low,Dry,0,Late,0
HAM,40.0,HARD,10,0-10,Normal,Low,Dry,0,Late,0
NOR,39.0,HARD,2,0-10,Faster,Low,Dry,0,Late,0
STR,40.0,HARD,10,0-10,Normal,Low,Dry,0,Late,0
RUS,40.0,HARD,9,0-10,Slower,Low,Dry,0,Late,0
BOT,40.0,HARD,11,11-20,Slower,Low,Dry,0,Late,0
ALB,40.0,HARD,14,11-20,Slower,Low,Dry,0,Late,0
GAS,40.0,HARD,15,11-20,Slower,Low,Dry,0,Late,0
TSU,40.0,HARD,14,11-20,Slower,Low,Dry,0,Late,0
SAR,40.0,HARD,10,0-10,Slower,Low,Dry,0,Late,0
DEV,40.0,HARD,13,11-20,Slower,Low,Dry,0,Late,0
ZHO,40.0,SOFT,8,0-10,Slower,Low,Dry,0,Late,0
MAG,40.0,SOFT,11,11-20,Slower,Low,Dry,0,Late,0
HUL,40.0,HARD,14,11-20,Slower,Low,Dry,0,Late,0
VER,41.0,HARD,5,0-10,Slower,Low,Dry,0,Late,0
PER,41.0,HARD,7,0-10,Slower,Low,Dry,0,Late,0
OCO,40.0,HARD,8,0-10,Slower,Low,Dry,0,Late,1
SAI,41.0,HARD,10,0-10,Slower,Low,Dry,0,Late,0
ALO,41.0,HARD,7,0-10,Slower,Low,Dry,0,Late,0
HAM,41.0,HARD,11,11-20,Slower,Low,Dry,0,Late,0
NOR,40.0,HARD,3,0-10,Slower,Low,Dry,0,Late,0
STR,41.0,HARD,11,11-20,Slower,Low,Dry,0,Late,0
RUS,41.0,HARD,10,0-10,Slower,Low,Dry,0,Late,0
BOT,41.0,HARD,12,11-20,Slower,Low,Dry,0,Late,0
ALB,41.0,SOFT,1,0-10,Slower,Low,Dry,0,Late,0
GAS,41.0,SOFT,1,0-10,Slower,Low,Dry,0,Late,0
TSU,41.0,SOFT,1,0-10,Slower,Low,Dry,0,Late,0
SAR,41.0,SOFT,1,0-10,Slower,Low,Dry,0,Late,0
DEV,41.0,HARD,14,11-20,Slower,Low,Dry,0,Late,0
ZHO,41.0,SOFT,9,0-10,Faster,Low,Dry,0,Late,0
MAG,41.0,SOFT,1,0-10,Slower,Low,Dry,0,Late,0
HUL,41.0,SOFT,1,0-10,Slower,Low,Dry,0,Late,0
VER,42.0,HARD,6,0-10,Faster,Low,Dry,0,Late,0
PER,42.0,HARD,8,0-10,Faster,Low,Dry,0,Late,0
OCO,41.0,HARD,9,0-10,Faster,Low,Dry,0,Late,0
SAI,42.0,HARD,11,11-20,Faster,Low,Dry,0,Late,0
ALO,42.0,HARD,8,0-10,Faster,Low,Dry,0,Late,0
HAM,42.0,HARD,12,11-20,Faster,Low,Dry,0,Late,0
NOR,41.0,HARD,4,0-10,Faster,Low,Dry,0,Late,0
STR,42.0,HARD,12,11-20,Faster,Low,Dry,0,Late,0
RUS,42.0,HARD,11,11-20,Faster,Low,Dry,0,Late,0
BOT,42.0,HARD,13,11-20,Faster,Low,Dry,0,Late,0
ALB,42.0,SOFT,2,0-10,Faster,Low,Dry,0,Late,0
GAS,42.0,SOFT,2,0-10,Faster,Low,Dry,0,Late,0
DEV,42.0,HARD,15,11-20,Faster,Low,Dry,0,Late,0
ZHO,42.0,SOFT,10,0-10,Faster,Low,Dry,0,Late,0
TSU,42.0,SOFT,2,0-10,Faster,Low,Dry,0,Late,0
SAR,42.0,SOFT,2,0-10,Faster,Low,Dry,0,Late,0
VER,43.0,HARD,7,0-10,Faster,Low,Dry,0,Late,0
MAG,42.0,SOFT,2,0-10,Faster,Low,Dry,0,Late,0
PER,43.0,HARD,9,0-10,Faster,Low,Dry,0,Late,0
HUL,42.0,SOFT,2,0-10,Faster,Low,Dry,0,Late,0
SAI,43.0,HARD,12,11-20,Normal,Low,Dry,0,Late,0
ALO,43.0,HARD,9,0-10,Slower,Low,Dry,0,Late,0
HAM,43.0,HARD,13,11-20,Normal,Low,Dry,0,Late,0
